survey_id,collector_id,respondent_id,date_created,date_modified,response_status,ip_address,"What is the name of your child's school, district, or parish?","What is the name of your child's school, district, or parish? - Other (please specify)",What grade level is your child currently enrolled in?,What grades does your child typically earn in math class?,Gender: How does your child identify?,How do you describe your child’s race? You may check more than one box. - Native American Indian or Alaska Native,How do you describe your child’s race? You may check more than one box. - Asian,How do you describe your child’s race? You may check more than one box. - Black or African American,How do you describe your child’s race? You may check more than one box. - Native Hawaiian or Other Pacific Islander,How do you describe your child’s race? You may check more than one box. - White,How do you describe your child’s race? You may check more than one box. - Prefer not to say,How do you describe your child’s race? You may check more than one box. - Other (please specify),How do you describe your child’s ethnicity?,How often do you speak English at home?,Please indicate your level of agreement with the following statements. - I know how to contact my child’s teacher(s) if I have questions or concerns.,Please indicate your level of agreement with the following statements. - I feel comfortable reaching out to my child’s teacher if I have questions or concerns,Please indicate your level of agreement with the following statements. - I am satisfied with how often my child’s teacher engages with me.,Please indicate your level of agreement with the following statements. - My child’s teacher communicates with me or other family members about my child’s educational progress.,Please indicate your level of agreement with the following statements. - My child’s teacher structures parent-teacher conferences so that the meeting is not intimidating for me or other family members attending.,Please indicate your level of agreement with the following statements. - My child’s teacher establishes positive home-school relationships.,"Please indicate your level of agreement with the following statements. - My child’s teacher communicates with me or family members of my child in positive ways, not just when there is a problem.",Please indicate your level of agreement with the following statements. - My child is excited to go to class.,Please indicate your level of agreement with the following statements. - My child is comfortable talking to their teacher.,Please indicate your level of agreement with the following statements. - My child can get the help they need to complete their schoolwork.,Please indicate your level of agreement with the following statements. - My child’s teacher regularly shares detailed feedback on my child’s work.,Please indicate your level of agreement with the following statements. - The work my child is being asked to do is helping them learn new things.,How many assignments does your child complete?,Which best matches your belief about your child’s experience so far this year?,teacher
318058603,415176619,13372932625,2022-03-04T02:01:34Z,2022-03-04T02:03:33Z,completed,107.115.177.51,"Cook Elementary - Columbus Municipal School District, MS",NA,NA,Mostly As,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,All of their assignments,My child has learned a lot this year.,Nykol Robertson
318058603,415176619,13372845950,2022-03-04T01:05:24Z,2022-03-04T01:08:59Z,completed,107.136.62.104,"Cook Elementary - Columbus Municipal School District, MS",NA,NA,Mostly As,Male,NA,NA,NA,NA,White,NA,NA,Not Hispanic or Latino,Always,4- Agree,4- Agree,3- Neither agree nor disagree,3- Neither agree nor disagree,3- Neither agree nor disagree,3- Neither agree nor disagree,3- Neither agree nor disagree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,All of their assignments,My child has learned some this year.,Nykol Robertson
318058603,415176619,13372793011,2022-03-04T00:34:47Z,2022-03-04T00:36:20Z,partial,50.86.54.107,"B.F. Middle School - Noxubee County School District, MS",NA,7,Mostly Ds,Male,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vivekanand Yamagowni
318058603,415176619,13372747822,2022-03-04T00:10:55Z,2022-03-04T00:16:08Z,completed,184.155.220.253,"Sale Elementary - Columbus Municipal School District, MS",NA,NA,Mostly As,Female,NA,NA,NA,NA,White,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,All of their assignments,My child has learned a lot this year.,Julie Richards
318058603,415176619,13372564230,2022-03-03T22:52:05Z,2022-03-03T22:55:34Z,completed,75.65.3.220,"Galloway Elementary - Jackson Public Schools, MS",NA,5,Mostly Bs,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,All of their assignments,My child has learned a lot this year.,Quintavious Phillips
318058603,415176619,13371125627,2022-03-03T13:45:40Z,2022-03-03T13:46:41Z,partial,173.235.40.29,"Galloway Elementary - Jackson Public Schools, MS",NA,4,Mostly Bs,Male,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tracey Horton
318058603,415176619,13369888653,2022-03-03T00:09:46Z,2022-03-03T00:15:25Z,completed,67.60.136.139,"Cook Elementary - Columbus Municipal School District, MS",NA,3,Mostly As,Male,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,4- Agree,5- Strongly agree,All of their assignments,My child has learned a lot this year.,Nykol Robertson
318058603,415176619,13369820048,2022-03-02T23:37:59Z,2022-03-02T23:42:05Z,completed,162.227.59.237,"B.F. Middle School - Noxubee County School District, MS",NA,8,Mostly Cs,Male,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,4- Agree,4- Agree,4- Agree,3- Neither agree nor disagree,3- Neither agree nor disagree,3- Neither agree nor disagree,3- Neither agree nor disagree,3- Neither disagree nor agree,3- Neither disagree nor agree,4- Agree,3- Neither disagree nor agree,3- Neither disagree nor agree,Some of their assignments,My child has learned some this year.,Samoria Conner
318058603,415176619,13369642113,2022-03-02T22:27:40Z,2022-03-02T22:56:46Z,completed,97.64.61.152,"B.F. Middle School - Noxubee County School District, MS",NA,8,Mostly Fs,Female,NA,NA,NA,NA,NA,NA,Middle Eastern,Not Hispanic or Latino,Almost always,4- Agree,4- Agree,3- Neither agree nor disagree,4- Agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,3- Neither disagree nor agree,4- Agree,3- Neither disagree nor agree,3- Neither disagree nor agree,5- Strongly agree,Few of their assignments,My child has learned some this year.,Ms. Hill
318058603,415176619,13369636567,2022-03-02T22:25:07Z,2022-03-02T22:28:04Z,completed,96.19.161.160,"Sale Elementary - Columbus Municipal School District, MS",NA,4,Mostly As,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,4- Agree,4- Agree,5- Strongly agree,4- Agree,4- Agree,All of their assignments,My child has learned a lot this year.,Jasmine Carter
318058603,415176619,13369449347,2022-03-02T21:04:57Z,2022-03-02T21:07:27Z,completed,184.155.50.177,"Cook Elementary - Columbus Municipal School District, MS",NA,3,Mostly As,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,All of their assignments,My child has learned a lot this year.,Mitzi Mullins
318058603,415176619,13368612229,2022-03-02T15:36:02Z,2022-03-02T15:39:58Z,completed,50.86.124.34,"Williams Sullivan Middle School - Holmes County Consolidated School District, MS",NA,6,Mostly As,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,4- Agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,3- Neither disagree nor agree,4- Agree,4- Agree,I'm not sure.,4- Agree,All of their assignments,My child has learned a lot this year.,Monica Anderson
318058603,415176619,13367438749,2022-03-02T04:00:19Z,2022-03-02T04:07:06Z,completed,107.136.63.110,"Cook Elementary - Columbus Municipal School District, MS",NA,3,Mostly As,Male,NA,NA,NA,NA,NA,Prefer not to say,NA,Hispanic or Latino,Sometimes,3- Neither agree nor disagree,3- Neither agree nor disagree,3- Neither agree nor disagree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,Few of their assignments,My child has learned a lot this year.,Nykol Robertson
318058603,415176619,13367104935,2022-03-02T00:21:52Z,2022-03-02T00:24:56Z,completed,174.202.202.48,"Earl Nash Elementary - Noxubee County School District, MS",NA,4,Mostly Cs,Male,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,4- Agree,5- Strongly agree,5- Strongly agree,4- Agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,Most of their assignments,My child has learned a lot this year.,Jacqueline Leach
318058603,415176619,13367103390,2022-03-02T00:21:14Z,2022-03-02T00:24:51Z,completed,172.58.193.136,"Cook Elementary - Columbus Municipal School District, MS",NA,NA,Mostly Bs,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,All of their assignments,My child has learned a lot this year.,Nykol Robertson
318058603,415176619,13366959029,2022-03-01T23:14:14Z,2022-03-01T23:18:02Z,completed,107.88.177.9,"Cook Elementary - Columbus Municipal School District, MS",NA,3,Mostly As,Male,NA,NA,Black or African American,NA,White,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,All of their assignments,My child has learned a lot this year.,Mitzi Mullins
318058603,415176619,13366958031,2022-03-01T23:14:08Z,2022-03-01T23:15:10Z,partial,73.2.225.119,"George Washington Carver Middle School - Meridian Public School District, MS",NA,7,Mostly As,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Keri Coker
318058603,415176619,13366957286,2022-03-01T23:13:33Z,2022-03-01T23:14:02Z,partial,73.2.225.119,"Vicksburg Jr. High - Vicksburg-Warren County School District, MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318058603,415176619,13366920443,2022-03-01T22:59:28Z,2022-03-01T23:02:26Z,completed,67.60.136.196,"Cook Elementary - Columbus Municipal School District, MS",NA,NA,Mostly As,Male,NA,NA,NA,NA,White,NA,NA,Not Hispanic or Latino,Always,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,3- Neither agree nor disagree,4- Agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,4- Agree,4- Agree,Most of their assignments,My child has learned a lot this year.,Nykol Robertson
318058603,415176619,13366762727,2022-03-01T19:56:08Z,2022-03-01T21:57:26Z,partial,108.66.82.70,"Williams Sullivan Middle School - Holmes County Consolidated School District, MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318058603,415176619,13366746665,2022-03-01T21:50:12Z,2022-03-01T21:53:55Z,completed,67.143.192.119,"Kemper County Upper Elementary - Kemper County School District, MS",NA,4,Mostly Bs,Male,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,2- Disagree,2- Disagree,1- Strongly disagree,1- Strongly disagree,1- Strongly disagree,1- Strongly disagree,1- Strongly disagree,2- Disagree,2- Disagree,3- Neither disagree nor agree,1- Strongly disagree,2- Disagree,Most of their assignments,My child has learned some this year.,Theresa Savell
318058603,415176619,13366698527,2022-03-01T21:30:17Z,2022-03-01T21:35:25Z,completed,174.126.139.64,"Cook Elementary - Columbus Municipal School District, MS",NA,NA,Mostly As,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,All of their assignments,My child has learned a lot this year.,Nykol Robertson
318058603,415176619,13366506058,2022-03-01T20:08:31Z,2022-03-01T20:21:44Z,partial,50.86.124.34,"Williams Sullivan Middle School - Holmes County Consolidated School District, MS",NA,7,Mostly Bs,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monica Anderson
318058603,415176619,13366476095,2022-03-01T19:56:08Z,2022-03-01T19:56:42Z,partial,50.86.124.34,"Williams Sullivan Middle School - Holmes County Consolidated School District, MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318058603,415176619,13366366879,2022-03-01T19:10:02Z,2022-03-01T19:12:01Z,completed,76.107.250.217,"George Washington Carver Middle School - Meridian Public School District, MS",NA,7,Mostly Bs,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,Most of their assignments,My child has learned some this year.,Keri Coker
318058603,415176619,13366349900,2022-03-01T19:03:37Z,2022-03-01T19:10:21Z,completed,73.2.132.40,"George Washington Carver Middle School - Meridian Public School District, MS",NA,7,Mostly As,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,1- Strongly disagree,1- Strongly disagree,1- Strongly disagree,1- Strongly disagree,1- Strongly disagree,1- Strongly disagree,1- Strongly disagree,1- Strongly disagree,1- Strongly disagree,1- Strongly disagree,1- Strongly disagree,1- Strongly disagree,All of their assignments,My child has learned a lot this year.,Keri Coker
318058603,415176619,13364542213,2022-03-01T02:41:31Z,2022-03-01T02:45:55Z,completed,73.203.228.189,"Isable Elementary - Jackson Public Schools, MS",NA,4,Mostly Cs,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,4- Agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,Most of their assignments,My child has learned a lot this year.,Doris Stocks
318058603,415176619,13364528397,2022-03-01T02:31:45Z,2022-03-01T02:36:54Z,completed,50.86.52.238,"Cook Elementary - Columbus Municipal School District, MS",NA,4,Mostly Cs,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,4- Agree,4- Agree,4- Agree,4- Agree,5- Strongly agree,4- Agree,4- Agree,4- Agree,4- Agree,Most of their assignments,My child has learned a lot this year.,Chenata Ward
318058603,415176619,13364167706,2022-02-28T23:14:13Z,2022-02-28T23:16:11Z,completed,75.65.124.189,"Parkview Elementary - Meridian Public School District, MS",NA,4,Mostly As,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,4- Agree,4- Agree,5- Strongly agree,4- Agree,4- Agree,Some of their assignments,My child has learned a lot this year.,Brenda Washington
318058603,415176619,13363842818,2022-02-28T21:02:06Z,2022-02-28T21:09:23Z,partial,107.218.132.37,"Galloway Elementary - Jackson Public Schools, MS",NA,4,Mostly Cs,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tracey Horton
318058603,415176619,13363551430,2022-02-28T18:59:08Z,2022-02-28T19:00:05Z,partial,50.86.52.229,"Vicksburg Intermediate - Vicksburg-Warren County School District, MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318058603,415176619,13361454524,2022-02-27T20:55:36Z,2022-02-27T21:02:14Z,completed,96.18.35.95,"Morgantown Middle School, Natchez-Adams School District, MS",NA,8,Mostly Cs,Female,NA,NA,NA,NA,White,NA,NA,Not Hispanic or Latino,Always,4- Agree,3- Neither agree nor disagree,2- Disagree,2- Disagree,1- Strongly disagree,3- Neither agree nor disagree,1- Strongly disagree,2- Disagree,2- Disagree,2- Disagree,2- Disagree,3- Neither disagree nor agree,Most of their assignments,My child has learned some this year.,Natasha Patten
318058603,415176619,13360551222,2022-02-26T23:59:01Z,2022-02-27T00:05:42Z,completed,47.212.241.144,"East Elementary - Greenwood Leflore Consolidated School District, MS",NA,4,Mostly As,Male,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,3- Neither agree nor disagree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,Most of their assignments,My child has learned a lot this year.,Sharrel Johnson
318058603,415176619,13359011019,2022-02-25T22:19:28Z,2022-02-25T22:25:50Z,completed,107.77.236.38,"Morgantown Middle School, Natchez-Adams School District, MS",NA,NA,Mostly Cs,Male,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,4- Agree,4- Agree,5- Strongly agree,4- Agree,5- Strongly agree,4- Agree,4- Agree,4- Agree,3- Neither disagree nor agree,4- Agree,4- Agree,3- Neither disagree nor agree,Most of their assignments,My child has learned some this year.,Natasha Patten
318058603,415176619,13358989179,2022-02-25T22:09:05Z,2022-02-25T22:10:14Z,completed,172.225.198.58,"Morgantown Middle School, Natchez-Adams School District, MS",NA,NA,Mostly Cs,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,4- Agree,4- Agree,4- Agree,5- Strongly agree,4- Agree,4- Agree,4- Agree,3- Neither disagree nor agree,3- Neither disagree nor agree,4- Agree,4- Agree,4- Agree,Most of their assignments,My child has learned some this year.,Natasha Patten
318058603,415176619,13358984182,2022-02-25T22:06:30Z,2022-02-25T22:08:10Z,completed,172.225.108.152,"Morgantown Middle School, Natchez-Adams School District, MS",NA,7,Mostly Cs,Male,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,3- Neither agree nor disagree,2- Disagree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,3- Neither disagree nor agree,Most of their assignments,My child has learned some this year.,Eddie Smith
318058603,415176619,13358952841,2022-02-25T21:50:37Z,2022-02-25T21:54:53Z,completed,172.225.198.50,"Morgantown Middle School, Natchez-Adams School District, MS",NA,8,Mostly Ds,Female,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,3- Neither disagree nor agree,3- Neither disagree nor agree,5- Strongly agree,4- Agree,4- Agree,Most of their assignments,My child has learned a little this year.,Natasha Patten
318058603,415176619,13358952251,2022-02-25T21:51:06Z,2022-02-25T21:53:41Z,completed,107.77.234.174,"Morgantown Middle School, Natchez-Adams School District, MS",NA,8,Mostly Ds,Male,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,3- Neither agree nor disagree,3- Neither disagree nor agree,3- Neither disagree nor agree,4- Agree,4- Agree,4- Agree,Most of their assignments,My child has learned some this year.,Natasha Patten
318058603,415176619,13357820790,2022-02-25T14:17:43Z,2022-02-25T14:19:09Z,partial,76.8.236.194,"Parkview Elementary - Meridian Public School District, MS",NA,4,Mostly Bs,Male,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Brenda Washington
318058603,415176619,13356903474,2022-02-25T04:46:20Z,2022-02-25T04:57:59Z,completed,107.136.60.173,"Cook Elementary - Columbus Municipal School District, MS",NA,4,Mostly As,Male,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,3- Neither agree nor disagree,3- Neither agree nor disagree,3- Neither agree nor disagree,3- Neither agree nor disagree,3- Neither agree nor disagree,3- Neither agree nor disagree,3- Neither agree nor disagree,5- Strongly agree,5- Strongly agree,5- Strongly agree,5- Strongly agree,4- Agree,All of their assignments,My child has learned a lot this year.,Chenata Ward
318058603,415176619,13356870571,2022-02-25T04:22:04Z,2022-02-25T04:27:18Z,completed,174.202.201.226,"Cook Elementary - Columbus Municipal School District, MS",NA,4,Mostly Bs,Male,NA,NA,Black or African American,NA,NA,NA,NA,Not Hispanic or Latino,Always,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,4- Agree,Most of their assignments,My child has learned a lot this year.,Chenata Ward
318058603,415176619,13356861385,2022-02-25T04:14:16Z,2022-02-25T04:19:06Z,completed,174.255.2.122,"Vicksburg Jr. High - Vicksburg-Warren County School District, MS",NA,8,Mostly Ds,Male,NA,NA,Black or African American,NA,NA,NA,NA,NA,Always,3- Neither agree nor disagree,5- Strongly agree,3- Neither agree nor disagree,2- Disagree,3- Neither agree nor disagree,2- Disagree,2- Disagree,3- Neither disagree nor agree,3- Neither disagree nor agree,1- Strongly disagree,2- Disagree,I'm not sure.,Most of their assignments,My child has learned some this year.,Syble Harr
